___November_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 125   4   69.00  -83.00        1.8625
 126   4   71.00  -83.00        1.8625
 127   4   73.00  -83.00        1.8625
 128   4   75.00  -83.00        1.8625
 129   4   77.00  -83.00        1.8625
 130   4   79.00  -83.00        1.8625
 131   4   81.00  -83.00        1.8625
 132   4   83.00  -83.00        1.8625
 133   4   85.00  -83.00        1.8625
 134   4   87.00  -83.00        1.8625
 135   4   89.00  -83.00        1.8625
 136   4   91.00  -83.00        1.8625
 137   4   93.00  -83.00        1.8625
 138   4   95.00  -83.00        1.8625
 139   4   97.00  -83.00        1.8625
 140   4   99.00  -83.00        1.8625
 141   4  101.00  -83.00        1.8625
 142   4  103.00  -83.00        1.8625
 143   4  105.00  -83.00        1.8625
 144   4  107.00  -83.00        1.8625
 145   4  109.00  -83.00        1.8625
 146   4  111.00  -83.00        1.8625
 147   4  113.00  -83.00        1.8625
 148   4  115.00  -83.00        1.8625
 149   4  117.00  -83.00        1.8625
 150   4  119.00  -83.00        1.8625
 151   4  121.00  -83.00        1.8625
 152   4  123.00  -83.00        1.8625
 153   4  125.00  -83.00        1.8625
 154   4  127.00  -83.00        1.8625
 155   4  129.00  -83.00        1.8625
 156   4  131.00  -83.00        1.8625
 157   4  133.00  -83.00        1.8625
 158   4  135.00  -83.00        1.8625
 159   4  137.00  -83.00        1.8625
